id,member_id,loan_amnt,funded_amnt,term,int_rate,exp_default_rate,service_fee_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,accept_d,exp_d,list_d,credit_pull_d,review_status_d,review_status,url,desc,purpose,title,zip_code,addr_state,msa,acc_now_delinq,acc_open_past_24mths,bc_open_to_buy,percent_bc_gt_75,bc_util,dti,delinq_2yrs,delinq_amnt,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,mths_since_recent_inq,mths_since_recent_revol_delinq,mths_since_recent_bc,mort_acc,open_acc,pub_rec,total_bal_ex_mort,revol_bal,revol_util,total_bc_limit,total_acc,total_il_high_credit_limit,num_rev_accts,mths_since_recent_bc_dlq,initial_list_status,ils_exp_d,pub_rec_bankruptcies,num_accts_ever_120_pd,chargeoff_within_12_mths,collections_12_mths_ex_med,tax_liens,mths_since_last_major_derog,num_sats,num_tl_op_past_12m,mo_sin_rcnt_tl,tot_hi_cred_lim,tot_cur_bal,avg_cur_bal,num_bc_tl,num_actv_bc_tl,num_bc_sats,pct_tl_nvr_dlq,num_tl_90g_dpd_24m,num_tl_30dpd,num_tl_120dpd_2m,num_il_tl,mo_sin_old_il_acct,num_actv_rev_tl,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,total_rev_hi_lim,num_rev_tl_bal_gt_0,num_op_rev_tl,tot_coll_amt,effective_int_rate,application_type,disbursement_method,annual_inc_joint,dti_joint,verified_status_joint,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m,mtg_payment,housing_payment,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog
"154522518","190327199","15000.0","14800.0","36","10.33","5.14","1.03","486.34","B","B1","Accounting assoc","10+ years","MORTGAGE","92000.0","Source Verified","07-01-2019 06:22:14","08-02-2019 14:00:00","07-03-2019 14:00:00","07-01-2019 06:17:26","07-03-2019 10:00:01","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154522518"," ","Debt consolidation","Debt consolidation","217xx","MD","","0","22","22647","9.1","38.6","21.94","1","0.0","09-30-2002 17:00:00","665","669","0","3","52","4","3","1","2","31","1","47137","16078.0","26.1","36900","81","45186","71","3","f","","1","0","0","0","0","null","31","8","1","106886","47137","1521","32","7","11","98","0","0","0","8","155","12","201","1","61700","12","28","92","10.22","INDIVIDUAL","DIRECT_PAY"," "," "," ","1","3","1","2","12","31059.0","68.7","7","20","5573.0","44.1","2","0","4","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"154600521","190534584","17000.0","16725.0","36","11.71","5.14","1.03","562.3","B","B3","Warden's Admin. Asst.","10+ years","RENT","72000.0","Not Verified","07-02-2019 06:10:26","08-01-2019 10:00:00","07-02-2019 10:00:00","07-02-2019 05:53:35","07-02-2019 06:13:07","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154600521"," ","Credit card refinancing","Credit card refinancing","431xx","OH","","0","5","11999","0.0","56.7","37.72","1","0.0","06-01-2005 17:00:00","685","689","1","9"," ","3"," ","8","2","11","0","94949","19187.0","55.0","27700","23","101592","9"," ","f","","0","0","0","0","0","null","11","1","8","136492","94949","8632","6","4","4","95","0","0","0","12","169","7","158","8","34900","7","7","0","11.60","INDIVIDUAL","CASH"," "," "," ","0","4","0","3","13","75762.0","60.0","1","2","6156.0","57.9","4","2","3","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"154124100","189640879","30000.0","23025.0","36","17.97","12.63","1.49","1084.13","D","D1","RN","1 year","OWN","275000.0","Source Verified","06-24-2019 10:40:27","07-29-2019 10:00:00","06-29-2019 10:00:00","06-24-2019 10:32:21","06-29-2019 08:20:03","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154124100"," ","Home buying","Home buying","445xx","OH","","0","10","16942","37.5","48.2","7.04","0","0.0","11-23-2005 16:00:00","670","674","2"," "," ","1"," ","1","2","21","0","60887","20121.0","42.6","32700","25","44412","21"," ","f","","0","0","0","0","0","null","21","6","1","91612","60887","2899","8","6","8","95","0","0","0","2","13","12","99","1","47200","12","19","0","17.20","INDIVIDUAL","CASH"," "," "," ","5","2","1","2","5","40766.0","91.8","5","8","9791.0","66.5","7","0","12","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"154334950","189967957","11150.0","8675.0","36","20.00","12.63","1.49","414.38","D","D2","","n/a","RENT","24900.0","Verified","06-28-2019 16:01:15","08-01-2019 10:00:00","07-02-2019 10:00:00","06-27-2019 11:46:01","07-02-2019 05:54:36","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154334950"," ","Debt consolidation","Debt consolidation","333xx","FL","","0","2","4556","33.3","40.1","46.7","0","0.0","08-26-2009 17:00:00","670","674","0","48"," ","1"," ","29","0","8","0","30088","3415.0","33.8","7600","10","34165","7"," ","f","","0","1","0","0","0","48","8","1","9","44265","30088","3761","3","3","3","90","0","0","0","3","73","5","118","26","10100","5","6","0","19.23","JOINT","CASH","39300.0","30.47","Verified","0","2","1","2","9","26673.0","78.1","0","0","2206.0","68.0","7","0","4","0"," ","10604","620","624","05-27-2013 17:00:00","0","0","5","30.1","0","12","1","1","12"
"154607088","190596210","19125.0","18325.0","60","15.24","7.28","0.86","457.4","C","C2","Systems Administrator","10+ years","MORTGAGE","96943.0","Source Verified","07-02-2019 10:00:30","08-01-2019 14:00:00","07-02-2019 14:00:00","07-02-2019 09:56:28","07-02-2019 10:03:41","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154607088"," ","Credit card refinancing","Credit card refinancing","329xx","FL","","0","8","36048","29.4","50.6","35.29","0","0.0","10-01-1997 17:00:00","660","664","1"," "," ","3"," ","4","1","33","0","76082","40671.0","44.7","72900","47","70272","33"," ","f","","0","0","0","0","0","null","33","3","3","283703","150322","4555","18","16","17","100","0","0","0","12","261","22","159","3","90900","22","27","0","15.00","INDIVIDUAL","CASH"," "," "," ","2","4","0","2","19","34430.0","50.2","3","6","6876.0","46.5","1","1","1","1415.37"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"154366749","190087878","20000.0","14250.0","36","7.02","2.16","0.86","617.73","A","A2","Senior Associate","< 1 year","RENT","115000.0","Source Verified","06-27-2019 18:57:23","08-04-2019 10:00:00","07-05-2019 10:00:00","06-27-2019 18:48:46","07-05-2019 05:53:59","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154366749"," ","Credit card refinancing","Credit card refinancing","201xx","VA","","0","3"," "," "," ","7.06","0","0.0","04-27-2014 17:00:00","695","699","0"," "," ","22"," "," ","0","2","0","28141","17710.0","88.6","0","11","17799","2"," ","f","","0","0","0","0","0","null","2","2","4","37799","28141","14071","0","0","0","100","0","0","0","9","56","1","62","41","20000","1","1","0","7.01","INDIVIDUAL","DIRECT_PAY"," "," "," ","1","1","2","3","4","10431.0","58.6","0","0","0.0","74.4","0","10","0","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"154169948","189686816","35000.0","21225.0","36","13.08","5.14","1.03","1180.64","B","B5","Crew forman","10+ years","MORTGAGE","125000.0","Not Verified","06-25-2019 04:27:16","08-02-2019 10:00:00","07-03-2019 10:00:00","06-25-2019 04:13:01","07-03-2019 06:16:08","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154169948"," ","Debt consolidation","Debt consolidation","254xx","WV","","0","10","17461","37.5","63.3","26.2","0","0.0","01-24-2007 16:00:00","660","664","1"," "," ","3"," ","10","2","34","0","89978","43138.0","56.2","47600","50","61133","37"," ","f","","0","0","0","0","0","null","34","7","3","408833","313147","9210","17","11","16","100","0","0","0","11","147","19","149","3","76700","19","31","250","12.97","INDIVIDUAL","DIRECT_PAY"," "," "," ","3","2","1","1","4","46840.0","94.7","6","9","8160.0","63.8","0","1","4","2062.5"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"154122526","189631109","37875.0","19800.0","36","7.02","2.16","0.86","1169.82","A","A2","","< 1 year","MORTGAGE","130000.0","Source Verified","06-24-2019 09:03:38","07-29-2019 14:00:00","06-29-2019 14:00:00","06-24-2019 09:01:09","06-29-2019 09:53:40","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154122526"," ","Home improvement","Home improvement","305xx","GA","","0","14","31554","0.0","13.1","10.44","0","0.0","09-23-2000 17:00:00","670","674","3","35"," ","0","38","3","2","19","0","46462","4746.0","12.6","36300","41","53858","32","38","f","","0","6","0","0","0","38","19","8","2","227827","157178","8273","22","7","15","80","0","0","0","6","133","7","225","2","37700","7","17","6541","7.01","INDIVIDUAL","CASH"," "," "," ","4","1","0","1","18","41716.0"," ","8","13","2142.0","12.6","0","0","3","1199.25"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"154446951","190231357","20000.0","12500.0","36","25.00","12.63","1.49","795.2","D","D4","cook","< 1 year","RENT","36000.0","Not Verified","06-29-2019 09:46:39","07-29-2019 14:00:00","06-29-2019 14:00:00","06-29-2019 09:38:00","06-29-2019 10:03:06","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154446951"," ","Debt consolidation","Debt consolidation","344xx","FL","","0","5","79151","0.0","15.5","36.82","0","0.0","03-28-2005 16:00:00","710","714","0"," "," ","11"," ","7","0","19","0","33441","14566.0","15.2","93700","37","31489","27"," ","f","","0","0","0","1","0","null","19","2","7","127389","33441","1760","20","12","16","100","0","0","0","10","153","13","171","7","95900","13","17","209","24.23","INDIVIDUAL","CASH"," "," "," ","0","2","1","1","11","18875.0","59.9","1","4","2052.0","26.3","1","0","1","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"154379538","190082664","21000.0","13475.0","60","17.74","7.28","0.86","530.3","C","C5","Photojournalist ","6 years","MORTGAGE","70000.0","Source Verified","06-29-2019 18:19:54","07-30-2019 06:00:00","06-30-2019 06:00:00","06-27-2019 22:48:53","06-29-2019 18:23:12","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154379538"," ","Debt consolidation","Debt consolidation","330xx","FL","","0","6","5833","0.0","48.4","24.95","0","0.0","12-27-2007 16:00:00","685","689","2","49"," ","2","49","52","2","10","0","49582","10057.0","50.3","11300","22","44227","12","49","f","","0","3","0","0","0","50","10","3","2","310120","271078","30120","6","1","3","89","0","0","0","7","111","3","138","2","20000","3","6","0","17.50","INDIVIDUAL","CASH"," "," "," ","2","2","1","3","10","38117.0","86.2","2","2","5467.0","73.3","2","0","3","1965.83"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
